CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T
21,110,2155.832,2306.945,4462.777,2202.177,2347.513,4549.69,2228.565,2367.847,4596.412,2225.275,2344.115,4569.39,2154.747,2223.524,4378.271,11368.302,10287.196,21655.498,2903.591,2367.069,5270.66
21,114,76995.133,78910.046,155905.179,78650.336,80297.692,158948.028,79592.78,80993.209,160585.989,79475.304,80181.469,159656.773,76956.413,76056.576,153012.989,406016.817,351877.952,757894.769,103701.22,80966.629,184667.849
21,115,2389.884,2565.193,4955.077,2441.26,2610.302,5051.562,2470.513,2632.912,5103.425,2466.867,2606.524,5073.391,2388.682,2472.433,4861.115,12602.524,11438.781,24041.305,3218.825,2632.048,5850.873
21,118,1269.324,1342.259,2611.583,1296.611,1365.863,2662.474,1312.148,1377.693,2689.841,1310.212,1363.886,2674.098,1268.686,1293.721,2562.407,6693.5,5985.438,12678.938,1709.595,1377.241,3086.836
21,119,5558.478,5854.888,11413.366,5677.971,5957.847,11635.818,5746.008,6009.452,11755.46,5737.527,5949.224,11686.751,5555.682,5643.169,11198.851,29311.401,26108.285,55419.686,7486.459,6007.481,13493.94
21,121,50.054,52.438,102.492,51.131,53.361,104.492,51.743,53.823,105.566,51.667,53.283,104.95,50.029,50.542,100.571,263.952,233.835,497.787,67.416,53.805,121.221
21,122,475.888,507.178,983.066,486.118,516.097,1002.215,491.943,520.567,1012.51,491.217,515.35,1006.567,475.649,488.838,964.487,2509.489,2261.623,4771.112,640.951,520.396,1161.347
21,125,442.112,442.923,885.035,451.616,450.712,902.328,457.028,454.616,911.644,456.353,450.06,906.413,441.889,426.907,868.796,2331.378,1975.096,4306.474,595.46,454.467,1049.927
21,126,301.648,311.771,613.419,308.133,317.254,625.387,311.825,320.002,631.827,311.365,316.795,628.16,301.496,300.498,601.994,1590.674,1390.262,2980.936,406.276,319.897,726.173
21,131,41.736,47.846,89.582,42.633,48.688,91.321,43.144,49.109,92.253,43.08,48.617,91.697,41.715,46.116,87.831,220.084,213.357,433.441,56.212,49.093,105.305
