Anio,CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T,Poblacion
2002,29,033,NA,NA,9185.156,NA,NA,9087.134,NA,NA,8838.702,NA,NA,8286.563,NA,NA,7351.45,NA,NA,29590.833,NA,NA,5677.419,78017.257
2002,29,034,NA,NA,4148.076,NA,NA,4103.809,NA,NA,3991.616,NA,NA,3742.266,NA,NA,3319.963,NA,NA,13363.413,NA,NA,2563.958,35233.101
2002,29,035,NA,NA,584.723,NA,NA,578.483,NA,NA,562.668,NA,NA,527.518,NA,NA,467.99,NA,NA,1883.737,NA,NA,361.421,4966.54
2002,29,036,NA,NA,2088.471,NA,NA,2066.183,NA,NA,2009.696,NA,NA,1884.154,NA,NA,1671.533,NA,NA,6728.203,NA,NA,1290.9,17739.14
2002,29,038,NA,NA,1563.765,NA,NA,1547.077,NA,NA,1504.781,NA,NA,1410.78,NA,NA,1251.578,NA,NA,5037.815,NA,NA,966.576,13282.372
2002,29,039,NA,NA,2255.093,NA,NA,2231.027,NA,NA,2170.032,NA,NA,2034.475,NA,NA,1804.89,NA,NA,7264.989,NA,NA,1393.89,19154.396
2002,29,040,NA,NA,1020.854,NA,NA,1009.96,NA,NA,982.35,NA,NA,920.983,NA,NA,817.053,NA,NA,3288.778,NA,NA,630.998,8670.976
2002,29,041,NA,NA,2790.521,NA,NA,2760.74,NA,NA,2685.265,NA,NA,2517.521,NA,NA,2233.426,NA,NA,8989.92,NA,NA,1724.842,23702.235
2002,29,042,NA,NA,1275.609,NA,NA,1261.996,NA,NA,1227.494,NA,NA,1150.815,NA,NA,1020.949,NA,NA,4109.494,NA,NA,788.463,10834.82
2002,29,043,NA,NA,3579.407,NA,NA,3541.209,NA,NA,3444.396,NA,NA,3229.231,NA,NA,2864.822,NA,NA,11531.394,NA,NA,2212.46,30402.919
2002,29,044,NA,NA,3996.356,NA,NA,3953.708,NA,NA,3845.618,NA,NA,3605.388,NA,NA,3198.531,NA,NA,12874.633,NA,NA,2470.18,33944.414
2002,29,048,NA,NA,1768.912,NA,NA,1750.035,NA,NA,1702.191,NA,NA,1595.858,NA,NA,1415.77,NA,NA,5698.714,NA,NA,1093.379,15024.859
2002,29,049,NA,NA,520.67,NA,NA,515.113,NA,NA,501.03,NA,NA,469.732,NA,NA,416.724,NA,NA,1677.385,NA,NA,321.83,4422.484
2002,29,050,NA,NA,973.111,NA,NA,962.728,NA,NA,936.408,NA,NA,877.911,NA,NA,778.842,NA,NA,3134.97,NA,NA,601.488,8265.458
2002,29,051,NA,NA,382.23,NA,NA,378.151,NA,NA,367.813,NA,NA,344.837,NA,NA,305.923,NA,NA,1231.39,NA,NA,236.26,3246.604
2002,29,052,NA,NA,579.295,NA,NA,573.113,NA,NA,557.445,NA,NA,522.621,NA,NA,463.645,NA,NA,1866.25,NA,NA,358.066,4920.435
