Microcuenca,Pobr_Porc2010,Pobr_Porc2015,Pobr_Porc2020,Pobr_CareProm2010,Pobr_CareProm2015,Pobr_CareProm2020,PobrExtr_Porc2010,PobrExtr_Porc2015,PobrExtr_Porc2020,PobrExtr_CareProm2010,PobrExtr_CareProm2015,PobrExtr_CareProm2020,PobrMode_Porc2010,PobrMode_Porc2015,PobrMode_Porc2020,PobrMode_CareProm2010,PobrMode_CareProm2015,PobrMode_CareProm2020,VulnCarSoc_Porc2010,VulnCarSoc_Porc2015,VulnCarSoc_Porc2020,VulnCarSoc_CareProm2010,VulnCarSoc_CareProm2015,VulnCarSoc_CareProm2020,VulnIngr_Porc2010,VulnIngr_Porc2015,VulnIngr_Porc2020,NoPobNoVuln_Porc2010,NoPobNoVuln_Porc2015,NoPobNoVuln_Porc2020,RezaEduc_Porc2010,RezaEduc_Porc2015,RezaEduc_Porc2020,RezaEduc_CareProm2010,RezaEduc_CareProm2015,RezaEduc_CareProm2020,CareServSalu_Porc2010,CareServSalu_Porc2015,CareServSalu_Porc2020,CareServSalu_CareProm2010,CareServSalu_CareProm2015,CareServSalu_CareProm2020,CareSeguSoci_Porc2010,CareSeguSoci_Porc2015,CareSeguSoci_Porc2020,CareSeguSoci_CareProm2010,CareSeguSoci_CareProm2015,CareSeguSoci_CareProm2020,CareCaliVivi_Porc2010,CareCaliVivi_Porc2015,CareCaliVivi_Porc2020,CareCaliVivi_CareProm2010,CareCaliVivi_CareProm2015,CareCaliVivi_CareProm2020,CareServVivi_Porc2010,CareServVivi_Porc2015,CareServVivi_Porc2020,CareServVivi_CareProm2010,CareServVivi_CareProm2015,CareServVivi_CareProm2020,CareAcceAlim_Porc2010,CareAcceAlim_Porc2015,CareAcceAlim_Porc2020,CareAcceAlim_CareProm2010,CareAcceAlim_CareProm2015,CareAcceAlim_CareProm2020,Pobl1CarSoc_Porc2010,Pobl1CarSoc_Porc2015,Pobl1CarSoc_Porc2020,Pobl1CarSoc_CareProm2010,Pobl1CarSoc_CareProm2015,Pobl1CarSoc_CareProm2020,Pobl3+CarSoc_Porc2010,Pobl3+CarSoc_Porc2015,Pobl3+CarSoc_Porc2020,Pobl3+CarSoc_CareProm2010,Pobl3+CarSoc_CareProm2015,Pobl3+CarSoc_CareProm2020,PoblIngInfLineaPobr_Porc2010,PoblIngInfLineaPobr_Porc2015,PoblIngInfLineaPobr_Porc2020,PoblIngInfLineaPobr_CareProm2010,PoblIngInfLineaPobr_CareProm2015,PoblIngInfLineaPobr_CareProm2020,PoblIngInfLineaPobrExtr_Porc2010,PoblIngInfLineaPobrExtr_Porc2015,PoblIngInfLineaPobrExtr_Porc2020,PoblIngInfLineaPobrExtr_CareProm2010,PoblIngInfLineaPobrExtr_CareProm2015,PoblIngInfLineaPobrExtr_CareProm2020,Pobr_Pers2010,Pobr_Pers2015,Pobr_Pers2020,PobrExtr_Pers2010,PobrExtr_Pers2015,PobrExtr_Pers2020,PobrMode_Pers2010,PobrMode_Pers2015,PobrMode_Pers2020,VulnCarSoc_Pers2010,VulnCarSoc_Pers2015,VulnCarSoc_Pers2020,VulnIngr_Pers2010,VulnIngr_Pers2015,VulnIngr_Pers2020,NoPobNoVuln_Pers2010,NoPobNoVuln_Pers2015,NoPobNoVuln_Pers2020,RezaEduc_Pers2010,RezaEduc_Pers2015,RezaEduc_Pers2020,CareServSalu_Pers2010,CareServSalu_Pers2015,CareServSalu_Pers2020,CareSeguSoci_Pers2010,CareSeguSoci_Pers2015,CareSeguSoci_Pers2020,CareCaliVivi_Pers2010,CareCaliVivi_Pers2015,CareCaliVivi_Pers2020,CareServVivi_Pers2010,CareServVivi_Pers2015,CareServVivi_Pers2020,CareAcceAlim_Pers2010,CareAcceAlim_Pers2015,CareAcceAlim_Pers2020,Pobl1CarSoc_Pers2010,Pobl1CarSoc_Pers2015,Pobl1CarSoc_Pers2020,Pobl3+CarSoc_Pers2010,Pobl3+CarSoc_Pers2015,Pobl3+CarSoc_Pers2020,PoblIngInfLineaPobr_Pers2010,PoblIngInfLineaPobr_Pers2015,PoblIngInfLineaPobr_Pers2020,PoblIngInfLineaPobrExtr_Pers2010,PoblIngInfLineaPobrExtr_Pers2015,PoblIngInfLineaPobrExtr_Pers2020
1,62.2273424762,55.86125053094,57.69927672836,2.1208848115866665,1.75727142488,1.8319233584133334,9.964929052933334,4.823447381773334,6.45535838944,3.5272244386533336,3.336585873006667,3.29397080596,52.26241342328,51.03780314916,51.243918338933334,1.8639127038866667,1.6211801326733333,1.6527992852733333,20.654630119933334,23.286369230973335,22.37498196828,1.85162428126,1.5887829601133334,1.58226211458,7.016064751426667,9.399643969153333,8.53868402268,10.10196265244,11.452736268946667,11.387057280693334,16.660836209973333,13.714022688726667,12.897666796733333,2.77315413674,2.4051333352133333,2.370024627386667,29.86798373844,11.801687662800001,23.129939733466667,2.66087419136,2.5471203460066665,2.4805414919333333,73.39342146716666,67.90173693666,69.31380831854666,2.1420048501199997,1.7752505145333333,1.84043429924,11.75236842182,9.050253284486667,6.47205124636,3.3233879209133335,2.64044896058,2.7956676022,18.119181100466665,12.07105681738,8.187373939353334,3.0069355527066666,2.648028544813333,2.8186385918066668,21.200185077726665,21.571399077333332,20.687500557733333,2.9977607856533335,2.34631615626,2.46297578808,82.88197259613334,79.1476197619,80.07425869664667,2.0545010977400002,1.7122945496466666,1.7598101141933333,22.64312608426,13.020964795366666,14.079044216553333,3.44804639614,3.2626439250533332,3.2489174837066668,69.24340722763333,65.26089450009333,66.23796075104,1.90117171052,1.4967270793466667,1.5923768729866667,29.122176042926668,22.8033036275,28.190273091446667,2.16345012062,1.73098439538,1.8125769235666667,166944,155209,176953,24911,9546,19892,142031,145663,157059,55677,80753,75071,25668,37654,30570,41008,49816,47301,40883,38991,38671,84934,40981,80727,194294,198178,212616,25945,24430,18308,39858,28112,18536,64607,67013,81222,222619,235962,252025,56727,35046,45927,192612,192862,207522,74577,51036,81312
2,58.631022768928574,52.55876609049286,55.82914542857143,2.3022124988714285,1.8048008679785714,1.9134561129785714,12.035293466985713,5.448811559407143,7.339099128771428,3.5190239213142855,3.327910092057143,3.290513575307143,46.59572930195,47.10995453107857,48.49004629980715,2.0149770859285714,1.6446282849642857,1.7142280977857143,19.23930787887857,23.10492637692857,20.051395569185715,1.9253596959071428,1.6456746862785714,1.6282845421642858,7.21356274125,8.967793251821428,9.078626446371429,14.91610661095,15.368514280771429,15.040832555885714,14.16643670385,11.188327775178571,10.453921991128572,2.9168833067,2.4551883186857144,2.414010328292857,41.68431889716429,17.88172288430714,29.508632540892858,2.647917500957143,2.5004367476214284,2.4044379845285713,68.51487858463571,65.7825487433,65.57014625349285,2.3214044421928572,1.8256168972142857,1.9215150570571429,11.636394728521429,8.833667260285715,6.558296297721428,3.3697622348428573,2.7092945821428573,2.8386884687071428,15.516569446514286,11.36175432562857,6.988338561642857,3.1150570433285716,2.6986173394785715,2.9605433251642856,22.482062414221428,18.718671606664287,20.492620558664285,3.130730285864286,2.437501044992857,2.5089010922214285,77.8703306477857,75.66369246742143,75.88054099777143,2.212442989092857,1.765714027392857,1.8375646646785715,25.552880924957144,13.544843081371429,14.83241058135,3.450135788785714,3.254667560421429,3.2448471139785715,65.84458551017143,61.526559342292856,64.90777187492857,2.04424343455,1.5269810845714287,1.6349001618214285,28.400482734964285,22.75221260837143,29.079001636835713,2.3155395070714286,1.767894270692857,1.8471675268714285,164848,149395,174595,25691,10684,23611,139158,138712,150983,61888,86879,89919,26673,35688,31276,63783,66576,71685,36895,31738,31836,114107,56692,110952,197214,201972,224441,29992,26816,21363,34711,28889,20097,63559,62436,82901,226737,236277,264512,61601,38680,52254,191522,185084,205871,72402,51045,84828
3,60.55147335158889,56.75327478778889,57.137972797,2.2805902053222225,1.7691878077444445,1.81093415445,12.160020826777778,5.707728911088889,6.3779421414375,3.5356790111333334,3.3641598854444443,3.3857278627375,48.39145252482222,51.0455458767,50.7600306555375,1.9749813425333334,1.600229425488889,1.615889306775,19.250488830433333,19.683601647755555,17.769444648975,1.8954530497777777,1.5767205524222223,1.5388574832250002,8.925054510733334,11.743131627155556,12.3686886082625,11.272983307244445,11.81999193731111,12.72389394575,15.908923809633333,13.1455798966,11.88336164905,2.8310735823,2.3336028241666664,2.3178684187375,41.265902986655554,16.371893194166667,21.4756544500125,2.6856789382,2.5249568445555557,2.46504991925,68.67692210495555,64.58147287591112,63.196976678912506,2.3203343953555553,1.793389464911111,1.837149462125,12.7426838087,8.38529377268889,7.720896935975,3.3024506624222223,2.677592053288889,2.700912567725,12.185721474366666,9.487167260877778,6.8597061508,3.165405381911111,2.7276577417111114,2.912982767725,24.633625973833333,20.00789917218889,19.5154497007875,3.0599070522,2.3979997663777777,2.408825671425,79.80196218201111,76.43687643551111,74.907417445975,2.1929428945777776,1.7229451632888888,1.743791618975,25.690837306544445,12.582786870333333,12.348241337025,3.458624476355556,3.2934348137,3.3052342091625,69.47652786231112,68.49640641494445,69.50666140525,1.9886413924333333,1.4676922843666667,1.4881993494749999,29.618763482355558,28.20825247168889,30.3539080624125,2.2836215753555558,1.7111912469,1.7201484117,72076,66085,69617,12695,5592,9089,59380,60492,60526,23372,26617,19992,10940,16808,15600,14549,17027,14815,18130,15938,13697,48491,20134,27801,82623,77320,74326,15195,11003,9475,13842,11156,8417,28956,24042,27703,95448,92704,89608,29199,14999,16626,83012,82893,85216,32300,28093,38793
4,57.10783867368571,53.54352994352857,63.50436637404285,2.371541609157143,2.033120587485714,2.171128093457143,10.293075695171428,5.8044023666,13.576655697585714,3.668949796171429,3.4339490536428574,3.430997728914286,46.81476297855714,47.739127576942856,49.92771067644286,2.1030622970285715,1.8708679761142857,1.8545914078714285,20.69936271025714,24.202062500271428,13.999935570714285,2.006756345614286,1.915515401557143,1.8081441795714286,8.380642129257144,9.4803777084,10.511150612371429,13.8121564868,12.7740298478,11.984547442842857,17.934063018185714,16.755490281442857,14.846324420585715,3.0552257922714285,2.766165190342857,2.8245430226,41.360818607285715,23.416905995014286,32.723364385842856,2.794442920742857,2.7317497109571427,2.6922839010142856,66.58818577612857,65.27039942907143,65.50714151505714,2.4401782932142857,2.123044312957143,2.244914968557143,13.286376744642856,12.933488403485715,9.311602608385714,3.484551632757143,2.986477044342857,3.2005891566285714,17.56892729672857,15.870550888042857,12.543808588,3.2291817765,2.9533106581857145,3.2407354936285713,21.34210537524286,23.111803291914285,30.264880810957145,3.2234223455714286,2.5893661226,2.644335410157143,77.80720138394285,77.7455924438,77.50430194477143,2.2665795744285715,1.9963113066857143,2.1051364287714285,27.10034492964286,21.7967423354,24.267133717328573,3.5639859288857143,3.3838180082428573,3.3717845023857143,65.48848080294286,63.023907651957146,74.01551698644286,2.0425897089428573,1.7283720035714287,1.8428462031285713,24.421319398185712,18.14403694485714,36.907527651100004,2.3819718161285715,2.0128435398285713,2.1036371615142855,747680,904437,917723,123137,87068,136202,624542,817369,781521,463038,542765,420422,193295,220345,243532,452765,441095,473151,259855,264766,233714,671750,423126,654111,970838,1153288,1101537,172262,154795,101355,287332,199806,169485,422160,521086,452656,1210717,1447201,1338145,415059,324164,350497,940973,1124781,1161256,264167,313036,404726
5,70.5839307563125,66.8419987256,65.1812687967625,2.9769567605000002,2.21603203315,2.2554447436125,23.3510377889875,12.889014870025,13.53741493275,3.837249170125,3.5264884934375,3.4819273557875,47.2328929673125,53.952983855587505,51.643853864025004,2.5763092338374998,1.92633388,1.958438281925,21.9715229581,20.6154738065625,18.2806211602125,2.49833068525,1.88753305125,1.9161181877,2.5105711235375,4.6517039767,6.35901515355,4.93397516205,7.8908234911375,10.179094889475,26.34572750525,22.5884258303875,19.7446989112625,3.7671167421625,2.93996857125,2.9643063352125,53.5977059954,26.722872410125,34.760068732925,3.3986599644875,2.8135452307875,2.742625469075,82.07287718235,78.47175694055,74.09934109925,3.020375046225,2.1841979390499997,2.2495988179875,17.5348042605,13.338167816537501,8.8907912359875,4.20790801245,3.283238500725,3.28530845995,55.880826558399995,25.899696837975,22.0793182498625,3.38655639865,3.0743648100875,3.1372202576375,30.0755033671125,21.392039915825,23.8028611341,3.9438401901374998,3.013885486675,2.94502344065,92.5554537144,87.4574725321625,83.461889956975,2.852998219825,2.1336953803625,2.1765513643625,53.459645467387496,28.3791335445625,27.7813884868875,3.7237801567499997,3.4419432036625,3.4260223308625,73.09450187985,71.4937027023,71.5402839503125,2.8731064542249998,2.0736573053625,2.0566744657125,35.10317430705,32.6521566009,33.6682568530875,3.123305093075,2.2764694537375,2.2692580117875,205780,187948,219993,58867,26376,40211,146910,161573,179783,89537,103715,92475,9770,18503,26351,32263,51684,64260,74573,60363,60643,171884,93040,153748,250625,261660,275076,39507,33735,21493,215996,66554,66105,89509,73059,98987,295316,291664,312470,176459,79125,98141,215550,206451,246345,81993,74388,99755
6,64.3127361393,58.42084203857,63.40020987712,2.29457526776,1.8959372755600001,2.08346742109,12.46154658877,6.2520159474599994,10.22937996292,3.56915838897,3.37462093872,3.39805269933,51.8511895505,52.16882609111,53.17082991419,2.0187688664,1.73337651137,1.84226021512,19.7462506175,21.64700709854,17.8688587843,2.01558676202,1.74415291568,1.83770611069,6.92703459161,9.28338765787,9.30507770664,9.01397865162,10.64876320502,9.42585363195,18.37694417882,14.91956398636,13.48375428782,2.99104940899,2.58073659235,2.75225242659,39.92116205958,18.74582357898,35.36405528938,2.79171017669,2.6125797353899998,2.57835136062,74.68991945428,69.76519201391,70.13625900785,2.33864561948,1.92269222539,2.12698713653,13.039527864370001,10.07315543433,7.8263047512699995,3.44542774957,2.86998491675,3.10765478693,23.76498858262,15.60889842289,14.06094769864,3.07679488223,2.80008602859,3.05272526974,20.35819437696,21.01029942439,25.15091714314,3.2703206644400002,2.53501994277,2.67018152707,84.05898675679,80.06784913709001,81.26906866142,2.23155720778,1.85621257572,2.03055472499,29.22455385359,17.7764430879,22.08961264822,3.50729061044,3.30808070484,3.34087064975,71.23977073091,67.70422969646,72.70528758378,2.07795663675,1.64131858918,1.82268484523,29.19837205619,23.99201725343,33.09501461809,2.3313561617,1.85454220095,2.01125102559,236160,235524,292178,44601,24722,52127,191558,210800,240051,78087,82938,82360,23328,34571,38883,35137,41959,39573,67579,58983,64788,156641,86848,188514,281284,279788,325893,45801,33759,32725,88157,52952,72737,76335,84726,125764,314250,318462,374538,112135,70059,119726,259490,270093,331063,98545,98544,149232
7,74.3737936295,73.4164111024,75.1004781795,2.2447562588,1.923844474875,2.09348426995,13.383695607575,8.124166173725,11.078571779525,3.618028253075,3.406434876375,3.4019681155,60.990098021899996,65.292244928675,64.0219064,1.947281192575,1.7391153977,1.86947871795,18.82011545,18.90047020315,15.384816247225,1.9925689385,1.8127298197,1.966292082725,3.6246194422499998,4.2544015725249995,5.699840875975,3.181471478225,3.42871712195,3.8148646973,19.54194240095,19.005375311575,18.1090202259,3.116502248225,2.698603310625,2.86295131915,42.905944916675,25.000494432274998,37.7807062759,2.739541307575,2.622879313325,2.6104616178,88.13723815682499,84.241629431625,81.88017077250001,2.238653524,1.936771301725,2.12519715435,18.59752716525,12.7368337292,8.47322419585,3.3796474661250002,3.03443540875,3.21216645235,15.911112719125,14.845612040875,14.288019051475,3.397800177,2.937816664875,3.15685027895,19.647545628075,19.66062265855,27.268231934725,3.241626421725,2.741317263875,2.7743678601250004,93.1939090795,92.316881305575,90.485294426725,2.1963628694999997,1.90122944635,2.07187895875,28.85490492505,20.90746694495,25.63470501655,3.52766969455,3.3444391636499997,3.353001211125,77.998413071775,77.67081267489999,80.800319055475,2.141097430825,1.8185336719,1.9476787556250001,34.115508262875,33.0655286236,36.869069669775,2.3480668159,1.9387388004,2.07733569945,63800,69797,76759,11264,7626,11092,52534,62171,65669,15769,17330,15791,3380,4184,6043,2796,3251,4159,16955,17993,18270,34825,21925,38108,75070,79420,83744,16403,12484,8607,12539,13341,14107,16554,18968,28655,79569,87128,92551,23913,19349,26042,67181,73980,82802,29408,31542,36804
